playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Ryan Button,70,43,5.2,6.1,50.4,86,Boston Bruins,Ryan Button (D),2009,1,https://www.eliteprospects.com/player/32780/ryan-button,-,-,1991-03-26,"6'1""",88 kg / 194,"Edmonton, AB, CAN",Canada,L,2009 round 3 #86 overall by Boston Bruins,Edmonton, ,16.3
Ryan Collins,92,42,1.4,1.2,37.4,47,Columbus Blue Jackets,Ryan Collins (D),2014,1,https://www.eliteprospects.com/player/120935/ryan-collins,-,-,1996-05-06,"6'5""",96 kg / 212,"Bloomington, MN, USA",USA,R,2014 round 2 #47 overall by Columbus Blue Jackets,Bloomington, ,11.2
Ryan Culkin,60,28,2.8,3.8,38.3,124,Calgary Flames,Ryan Culkin (D),2012,1,https://www.eliteprospects.com/player/88706/ryan-culkin,-,-,1993-12-15,"6'2""",91 kg / 201,"Montréal, QC, CAN",Canada,L,2012 round 5 #124 overall by Calgary Flames,Montréal, ,13.5
Ryan Donato,13,33,0.6,3.8,208.2,56,Boston Bruins,Ryan Donato (F),2014,0,https://www.eliteprospects.com/player/195235/ryan-donato,Seattle Kraken,Signed,1996-04-09,"6'0""",87 kg / 192,"Scituate, MA, USA",USA,L,2014 round 2 #56 overall by Boston Bruins,Scituate, ,11.2
Ryan Dzingel,54,8,9.6,14.6,12.1,204,Ottawa Senators,Ryan Dzingel (F),2011,0,https://www.eliteprospects.com/player/49315/ryan-dzingel,Carolina Hurricanes,Signed,1992-03-09,"6'0""",86 kg / 190,"Wheaton, IL, USA",USA,L,2011 round 7 #204 overall by Ottawa Senators,Wheaton, ,15.3
Ryan Ellis,63,57,14.700000000000001,19.1,74.2,11,Nashville Predators,Ryan Ellis (D),2009,1,https://www.eliteprospects.com/player/14012/ryan-ellis,Philadelphia Flyers,Signed,1991-01-03,"5'10""",82 kg / 181,"Hamilton, ON, CAN",Canada,R,2009 round 1 #11 overall by Nashville Predators,Hamilton, ,16.5
Ryan Fitzgerald,60,108,3.7,5.1,147.6,120,Boston Bruins,Ryan Fitzgerald (F),2013,0,https://www.eliteprospects.com/player/150709/ryan-fitzgerald,-,-,1994-10-19,"5'9""",78 kg / 172,"Boca Raton, FL, USA",USA,L,2013 round 4 #120 overall by Boston Bruins,Boca Raton, ,12.7
Ryan Graves,68,90,1.8,2.2,108.5,110,New York Rangers,Ryan Graves (D),2013,1,https://www.eliteprospects.com/player/103763/ryan-graves,New Jersey Devils,Signed,1995-05-21,"6'5""",100 kg / 220,"Yarmouth, NS, CAN",Canada,L,2013 round 4 #110 overall by New York Rangers,Yarmouth, ,12.1
Ryan Gropp,67,44,8.2,10.0,53.9,41,New York Rangers,Ryan Gropp (F),2015,0,https://www.eliteprospects.com/player/120198/ryan-gropp,-,-,1996-09-16,"6'3""",89 kg / 196,"Kamloops, BC, CAN",Canada,L,2015 round 2 #41 overall by New York Rangers,Kamloops, ,10.8
Ryan Hartman,63,136,9.4,12.2,177.0,30,Chicago Blackhawks,Ryan Hartman (F),2013,0,https://www.eliteprospects.com/player/90345/ryan-hartman,Minnesota Wild,Signed,1994-09-20,"6'0""",89 kg / 196,"Hilton Head Island, SC, USA",USA,R,2013 round 1 #30 overall by Chicago Blackhawks,Hilton Head Island, ,12.8
Ryan Hegarty,62,64,2.9,3.8,84.6,113,Anaheim Ducks,Ryan Hegarty (D),2008,1,https://www.eliteprospects.com/player/17494/ryan-hegarty,-,-,1990-05-16,"6'0""",94 kg / 207,"Arlington, MA, USA",USA,L,2008 round 4 #113 overall by Anaheim Ducks,Arlington, ,17.1
Ryan Howse,61,12,6.2,8.3,16.1,74,Calgary Flames,Ryan Howse (F),2009,0,https://www.eliteprospects.com/player/30438/ryan-howse,-,-,1991-07-06,"5'11""",88 kg / 194,"Prince George, BC, CAN",Canada,L,2009 round 3 #74 overall by Calgary Flames,Prince George, ,16.0
Ryan Johansen,71,53,9.7,11.2,61.2,4,Columbus Blue Jackets,Ryan Johansen (F),2010,0,https://www.eliteprospects.com/player/45512/ryan-johansen,Nashville Predators,Signed,1992-07-31,"6'3""",99 kg / 218,"Vancouver, BC, CAN",Canada,R,2010 round 1 #4 overall by Columbus Blue Jackets,Vancouver, ,14.9
Ryan Kujawinski,66,40,6.9,8.6,49.7,73,New Jersey Devils,Ryan Kujawinski (F),2013,0,https://www.eliteprospects.com/player/125026/ryan-kujawinski,-,-,1995-03-30,"6'2""",93 kg / 205,"Kirkland Lake, ON, CAN",Canada,L,2013 round 3 #73 overall by New Jersey Devils,Kirkland Lake, ,12.3
Ryan MacInnis,66,18,5.3,6.6,22.4,43,Arizona Coyotes,Ryan MacInnis (F),2014,0,https://www.eliteprospects.com/player/168707/ryan-macinnis,-,-,1996-02-14,"6'4""",91 kg / 201,"St. Louis, MO, USA",USA,L,2014 round 2 #43 overall by Arizona Coyotes,St. Louis, ,11.4
Ryan Mantha,53,71,2.2,3.4,109.8,104,New York Rangers,Ryan Mantha (D),2014,1,https://www.eliteprospects.com/player/203339/ryan-mantha,-,-,1996-06-18,"6'5""",104 kg / 229,"Clarkston, MI, USA",USA,R,2014 round 4 #104 overall by New York Rangers,Clarkston, ,11.0
Ryan Martindale,61,37,8.6,11.6,49.7,61,Edmonton Oilers,Ryan Martindale (F),2010,0,https://www.eliteprospects.com/player/23810/ryan-martindale,-,-,1991-10-27,"6'3""",92 kg / 203,"Brooklin, ON, CAN",Canada,L,2010 round 3 #61 overall by Edmonton Oilers,Brooklin, ,15.7
Ryan McDonagh,30,48,1.2000000000000002,3.3,131.2,12,Montréal Canadiens,Ryan McDonagh (D),2007,1,https://www.eliteprospects.com/player/11458/ryan-mcdonagh,Nashville Predators,Signed,1989-06-13,"6'1""",97 kg / 214,"St. Paul, MN, USA",USA,L,2007 round 1 #12 overall by Montréal Canadiens,St. Paul, ,18.0
Ryan Molle,61,52,0.7,0.9,69.9,207,New Jersey Devils,Ryan Molle (D),2007,1,https://www.eliteprospects.com/player/13929/ryan-molle,-,-,1989-01-29,"6'2""",94 kg / 207,"Calgary, AB, CAN",Canada,R,2007 round 7 #207 overall by New Jersey Devils,Calgary, ,18.4
Ryan Murphy,70,38,13.200000000000001,15.5,44.5,12,Carolina Hurricanes,Ryan Murphy (D),2011,1,https://www.eliteprospects.com/player/44666/ryan-murphy,-,-,1993-03-31,"5'11""",83 kg / 183,"Aurora, ON, CAN",Canada,R,2011 round 1 #12 overall by Carolina Hurricanes,Aurora, ,14.3
Ryan Murray,58,31,5.2,7.4,43.8,2,Columbus Blue Jackets,Ryan Murray (D),2012,1,https://www.eliteprospects.com/player/41768/ryan-murray,Edmonton Oilers,Signed,1993-09-27,"6'1""",93 kg / 205,"Regina, SK, CAN",Canada,L,2012 round 1 #2 overall by Columbus Blue Jackets,Regina, ,13.8
Ryan Nugent-Hopkins,69,51,14.9,17.7,60.6,1,Edmonton Oilers,Ryan Nugent-Hopkins (F),2011,0,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,Edmonton Oilers,Signed,1993-04-12,"6'0""",83 kg / 183,"Burnaby, BC, CAN",Canada,L,2011 round 1 #1 overall by Edmonton Oilers,Burnaby, ,14.2
Ryan O'Reilly,74,26,10.2,11.3,28.8,33,Colorado Avalanche,Ryan O'Reilly (F),2009,0,https://www.eliteprospects.com/player/14371/ryan-o-reilly,St. Louis Blues,Signed,1991-02-07,"6'1""",98 kg / 216,"Clinton, ON, CAN",Canada,L,2009 round 2 #33 overall by Colorado Avalanche,Clinton, ,16.4
Ryan Olsen,67,64,4.5,5.5,78.3,160,Winnipeg Jets,Ryan Olsen (F),2012,0,https://www.eliteprospects.com/player/50187/ryan-olsen,-,-,1994-03-25,"6'2""",88 kg / 194,"Delta, BC, CAN",Canada,R,2012 round 6 #160 overall by Winnipeg Jets,Delta, ,13.3
Ryan Pilon,68,40,7.3,8.8,48.2,147,New York Islanders,Ryan Pilon (D),2015,1,https://www.eliteprospects.com/player/119271/ryan-pilon,-,-,1996-10-10,"6'3""",94 kg / 207,"Prince Albert, SK, CAN",Canada,L,2015 round 5 #147 overall by New York Islanders,Prince Albert, ,10.7
Ryan Pulock,61,22,6.3,8.5,29.6,15,New York Islanders,Ryan Pulock (D),2013,1,https://www.eliteprospects.com/player/86761/ryan-pulock,New York Islanders,Signed,1994-10-06,"6'2""",98 kg / 216,"Dauphin, MB, CAN",Canada,R,2013 round 1 #15 overall by New York Islanders,Dauphin, ,12.7
Ryan Rehill,72,182,2.8,3.2,207.3,131,New Jersey Devils,Ryan Rehill (D),2014,1,https://www.eliteprospects.com/player/83900/ryan-rehill,-,-,1995-11-07,"6'3""",98 kg / 216,"Edmonton, AB, CAN",Canada,R,2014 round 5 #131 overall by New Jersey Devils,Edmonton, ,11.6
Ryan Rupert,63,120,6.9,9.0,156.2,157,Toronto Maple Leafs,Ryan Rupert (F),2012,0,https://www.eliteprospects.com/player/75471/ryan-rupert,-,-,1994-06-02,"5'8""",84 kg / 185,"London, ON, CAN",Canada,L,2012 round 6 #157 overall by Toronto Maple Leafs,London, ,13.1
Ryan Segalla,32,38,0.5,1.3,97.4,119,Pittsburgh Penguins,Ryan Segalla (D),2013,1,https://www.eliteprospects.com/player/162870/ryan-segalla,-,-,1994-12-29,"6'1""",88 kg / 194,"Boston, MA, USA",USA,L,2013 round 4 #119 overall by Pittsburgh Penguins,Boston, ,12.5
Ryan Shea,16,0,0.3,1.5,0.0,121,Chicago Blackhawks,Ryan Shea (D),2015,1,https://www.eliteprospects.com/player/232931/ryan-shea,Dallas Stars,Signed,1997-02-11,"6'2""",86 kg / 190,"Milton, MA, USA",USA,L,2015 round 4 #121 overall by Chicago Blackhawks,Milton, ,10.4
Ryan Spooner,53,14,8.1,12.5,21.7,45,Boston Bruins,Ryan Spooner (F),2010,0,https://www.eliteprospects.com/player/23117/ryan-spooner,-,-,1992-01-30,"6'0""",90 kg / 198,"Ottawa, ON, CAN",Canada,L,2010 round 2 #45 overall by Boston Bruins,Ottawa, ,15.4
Ryan Sproul,64,40,4.8999999999999995,6.3,51.2,55,Detroit Red Wings,Ryan Sproul (D),2011,1,https://www.eliteprospects.com/player/62407/ryan-sproul,-,-,1993-01-13,"6'4""",93 kg / 205,"Mississauga, ON, CAN",China,R,2011 round 2 #55 overall by Detroit Red Wings,Mississauga, ,14.5
Ryan Strome,65,82,15.3,19.3,103.4,5,New York Islanders,Ryan Strome (F),2011,0,https://www.eliteprospects.com/player/44789/ryan-strome,Anaheim Ducks,Signed,1993-07-11,"6'1""",86 kg / 190,"Mississauga, ON, CAN",Canada,R,2011 round 1 #5 overall by New York Islanders,Mississauga, ,14.0
Ryan Tesink,59,38,4.0,5.6,52.8,162,St. Louis Blues,Ryan Tesink (F),2011,0,https://www.eliteprospects.com/player/56060/ryan-tesink,-,-,1993-05-21,"6'0""",78 kg / 172,"Saint John, NB, CAN",Canada,L,2011 round 6 #162 overall by St. Louis Blues,Saint John, ,14.1
Ryan Thang,42,22,8.0,15.6,43.0,81,Nashville Predators,Ryan Thang (F),2007,0,https://www.eliteprospects.com/player/11420/ryan-thang,-,-,1987-05-11,"6'0""",88 kg / 194,"Chicago, IL, USA",USA,R,2007 round 3 #81 overall by Nashville Predators,Chicago, ,20.1
Ryan Watson,37,55,1.5,3.3,121.9,191,Florida Panthers,Ryan Watson (F),2007,0,https://www.eliteprospects.com/player/15035/ryan-watson,-,-,1988-03-01,"6'1""",88 kg / 194,"Cambridge, ON, CAN",Canada,L,2007 round 7 #191 overall by Florida Panthers,Cambridge, ,19.3
Ryan Zuhlsdorf,56,58,3.1,4.5,84.9,150,Tampa Bay Lightning,Ryan Zuhlsdorf (D),2015,1,https://www.eliteprospects.com/player/248447/ryan-zuhlsdorf,-,-,1997-07-01,"5'11""",85 kg / 187,"Edina, MN, USA",USA,L,2015 round 5 #150 overall by Tampa Bay Lightning,Edina, ,10.0
Ryley Grantham,66,163,2.7,3.4,202.5,168,Calgary Flames,Ryley Grantham (F),2008,0,https://www.eliteprospects.com/player/19231/ryley-grantham,-,-,1988-01-07,"6'3""",94 kg / 207,"Hanna, AB, CAN",Canada,L,2008 round 6 #168 overall by Calgary Flames,Hanna, ,19.5
Saku Mäenalanen,55,47,4.8,7.2,70.1,125,Nashville Predators,Saku Mäenalanen (F),2013,0,https://www.eliteprospects.com/player/73109/saku-maenalanen,Winnipeg Jets,Signed,1994-05-29,"6'4""",94 kg / 207,"Tornio, FIN",Finland,L,2013 round 5 #125 overall by Nashville Predators,Tornio, ,13.1
Saku Salminen,40,18,2.0,4.1,36.9,184,Tampa Bay Lightning,Saku Salminen (F),2013,0,https://www.eliteprospects.com/player/43302/saku-salminen,-,-,1994-10-20,"6'4""",95 kg / 209,"Helsinki, FIN",Finland,L,2013 round 7 #184 overall by Tampa Bay Lightning,Helsinki, ,12.7
Sam Bennett,57,118,13.1,18.8,169.8,4,Calgary Flames,Sam Bennett (F),2014,0,https://www.eliteprospects.com/player/189371/sam-bennett,Florida Panthers,Signed,1996-06-20,"6'1""",88 kg / 194,"Holland Landing, ON, CAN",Canada,L,2014 round 1 #4 overall by Calgary Flames,Holland Landing, ,11.0
Sam Carrick,66,96,6.0,7.5,119.3,144,Toronto Maple Leafs,Sam Carrick (F),2010,0,https://www.eliteprospects.com/player/32716/sam-carrick,Anaheim Ducks,Signed,1992-02-04,"6'0""",91 kg / 201,"Stouffville, ON, CAN",Canada,R,2010 round 5 #144 overall by Toronto Maple Leafs,Stouffville, ,15.4
Sam Gagner,59,44,17.0,23.6,61.2,6,Edmonton Oilers,Sam Gagner (F),2007,0,https://www.eliteprospects.com/player/10425/sam-gagner,Winnipeg Jets,Signed,1989-08-10,"5'11""",89 kg / 196,"London, ON, CAN",Canada,R,2007 round 1 #6 overall by Edmonton Oilers,London, ,17.9
Sam Jardine,50,56,1.4,2.3,91.8,169,Chicago Blackhawks,Sam Jardine (D),2011,1,https://www.eliteprospects.com/player/54059/sam-jardine,-,-,1993-08-12,"6'2""",95 kg / 209,"Lacombe, AB, CAN",Canada,L,2011 round 6 #169 overall by Chicago Blackhawks,Lacombe, ,13.9
Sam Kurker,26,25,1.7,5.4,78.8,56,St. Louis Blues,Sam Kurker (F),2012,0,https://www.eliteprospects.com/player/149169/sam-kurker,-,-,1994-04-08,"6'2""",92 kg / 203,"Boston, MA, USA",USA,R,2012 round 2 #56 overall by St. Louis Blues,Boston, ,13.2
Sam Lafferty,11,2,0.3,2.2,14.9,113,Pittsburgh Penguins,Sam Lafferty (F),2014,0,https://www.eliteprospects.com/player/259043/sam-lafferty,Chicago Blackhawks,Signed,1995-03-06,"6'1""",88 kg / 194,"Hollidaysburg, PA, USA",USA,R,2014 round 4 #113 overall by Pittsburgh Penguins,Hollidaysburg, ,12.3
Sam Reinhart,67,11,16.1,19.7,13.5,2,Buffalo Sabres,Sam Reinhart (F),2014,0,https://www.eliteprospects.com/player/95032/sam-reinhart,Florida Panthers,Signed,1995-11-06,"6'2""",88 kg / 194,"West Vancouver, BC, CAN",Canada,R,2014 round 1 #2 overall by Buffalo Sabres,West Vancouver, ,11.6
Sam Ruopp,64,140,3.7,4.7,179.4,129,Columbus Blue Jackets,Sam Ruopp (D),2015,1,https://www.eliteprospects.com/player/120650/sam-ruopp,-,-,1996-06-03,"6'4""",95 kg / 209,"Regina, SK, CAN",Canada,L,2015 round 5 #129 overall by Columbus Blue Jackets,Regina, ,11.1
Sami Niku,80,36,4.800000000000001,4.9,36.9,198,Winnipeg Jets,Sami Niku (D),2015,1,https://www.eliteprospects.com/player/92502/sami-niku,-,-,1996-10-10,"6'1""",88 kg / 194,"Haapavesi, FIN",Finland,L,2015 round 7 #198 overall by Winnipeg Jets,Haapavesi, ,10.7
Sami Vatanen,60,96,1.7000000000000002,2.3,131.2,106,Anaheim Ducks,Sami Vatanen (D),2009,1,https://www.eliteprospects.com/player/16044/sami-vatanen,-,-,1991-06-03,"5'10""",84 kg / 185,"Jyväskylä, FIN",Finland,R,2009 round 4 #106 overall by Anaheim Ducks,Jyväskylä, ,16.1
Sammy Blais,67,24,3.6,4.4,29.4,176,St. Louis Blues,Sammy Blais (F),2014,0,https://www.eliteprospects.com/player/213830/sammy-blais,New York Rangers,Signed,1996-06-17,"6'2""",95 kg / 209,"Montmagny, QC, CAN",Canada,L,2014 round 6 #176 overall by St. Louis Blues,Montmagny, ,11.0
Samuel Carrier,66,65,4.7,5.8,80.8,176,Washington Capitals,Samuel Carrier (D),2010,1,https://www.eliteprospects.com/player/37472/samuel-carrier,-,-,1992-04-28,"6'1""",84 kg / 185,"Laval, QC, CAN",Canada,R,2010 round 6 #176 overall by Washington Capitals,Laval, ,15.2
Samuel Dove-McFalls,66,73,3.8,4.7,90.7,98,Philadelphia Flyers,Samuel Dove-McFalls (F),2015,0,https://www.eliteprospects.com/player/135860/samuel-dove-mcfalls,-,-,1997-04-10,"6'2""",94 kg / 207,"Montréal, QC, CAN",Canada,L,2015 round 4 #98 overall by Philadelphia Flyers,Montréal, ,10.2
Samuel Groulx,70,100,2.8,3.3,117.1,92,San Jose Sharks,Samuel Groulx (D),2008,1,https://www.eliteprospects.com/player/19048/samuel-groulx,-,-,1990-06-28,"6'2""",88 kg / 194,"Gatineau, QC, CAN",Canada,L,2008 round 4 #92 overall by San Jose Sharks,Gatineau, ,17.0
Samuel Morin,53,123,2.1,3.2,190.3,11,Philadelphia Flyers,Samuel Morin (D),2013,1,https://www.eliteprospects.com/player/126391/samuel-morin,-,-,1995-07-12,"6'6""",92 kg / 203,"Lac-Beauport, QC, CAN",Canada,L,2013 round 1 #11 overall by Philadelphia Flyers,Lac-Beauport, ,12.0
Samuel Morneau,68,54,4.7,5.7,65.1,195,Carolina Hurricanes,Samuel Morneau (F),2008,0,https://www.eliteprospects.com/player/19074/samuel-morneau,-,-,1990-02-10,"5'10""",86 kg / 190,"Cowansville, QC, CAN",Canada,L,2008 round 7 #195 overall by Carolina Hurricanes,Cowansville, ,17.4
Samuel Noreau,67,141,1.1,1.3,172.6,136,New York Rangers,Samuel Noreau (D),2011,1,https://www.eliteprospects.com/player/68120/samuel-noreau,-,-,1993-01-31,"6'5""",103 kg / 227,"Montréal, QC, CAN",Canada,R,2011 round 5 #136 overall by New York Rangers,Montréal, ,14.4
Santeri Saari,61,42,1.9,2.6,56.5,173,St. Louis Blues,Santeri Saari (D),2013,1,https://www.eliteprospects.com/player/60924/santeri-saari,-,-,1994-10-18,"6'4""",97 kg / 214,"Helsinki, FIN",Finland,L,2013 round 6 #173 overall by St. Louis Blues,Helsinki, ,12.7
Sawyer Hannay,54,158,0.7,1.1,239.9,205,Vancouver Canucks,Sawyer Hannay (D),2010,1,https://www.eliteprospects.com/player/45145/sawyer-hannay,-,-,1992-09-06,"6'4""",86 kg / 190,"Moncton, NB, CAN",Canada,R,2010 round 7 #205 overall by Vancouver Canucks,Moncton, ,14.8
Scott Glennie,55,25,9.9,14.8,37.3,8,Dallas Stars,Scott Glennie (F),2009,0,https://www.eliteprospects.com/player/13799/scott-glennie,-,-,1991-02-22,"6'1""",91 kg / 201,"Oakville, ON, CAN",Canada,R,2009 round 1 #8 overall by Dallas Stars,Oakville, ,16.4
Scott Harrington,74,59,3.2,3.5,65.4,54,Pittsburgh Penguins,Scott Harrington (D),2011,1,https://www.eliteprospects.com/player/39653/scott-harrington,San Jose Sharks,Signed,1993-03-10,"6'2""",93 kg / 205,"Kingston, ON, CAN",Canada,L,2011 round 2 #54 overall by Pittsburgh Penguins,Kingston, ,14.3
Scott Kosmachuk,74,114,8.5,9.4,126.3,70,Winnipeg Jets,Scott Kosmachuk (F),2012,0,https://www.eliteprospects.com/player/91265/scott-kosmachuk,-,-,1994-01-24,"5'11""",84 kg / 185,"Richmond Hill, ON, CAN",Canada,R,2012 round 3 #70 overall by Winnipeg Jets,Richmond Hill, ,13.4
Scott Laughton,71,105,8.5,9.8,121.3,20,Philadelphia Flyers,Scott Laughton (F),2012,0,https://www.eliteprospects.com/player/76690/scott-laughton,Philadelphia Flyers,Signed,1994-05-30,"6'1""",86 kg / 190,"Oakville, ON, CAN",Canada,L,2012 round 1 #20 overall by Philadelphia Flyers,Oakville, ,13.1
Scott Mayfield,52,159,2.3,3.6,250.7,34,New York Islanders,Scott Mayfield (D),2011,1,https://www.eliteprospects.com/player/45906/scott-mayfield,New York Islanders,Signed,1992-10-14,"6'5""",100 kg / 220,"St. Louis, MO, USA",USA,R,2011 round 2 #34 overall by New York Islanders,St. Louis, ,14.7
Scott Timmins,66,61,10.6,13.2,75.8,165,Florida Panthers,Scott Timmins (F),2009,0,https://www.eliteprospects.com/player/18618/scott-timmins,-,-,1989-09-11,"5'11""",87 kg / 192,"Hamilton, ON, CAN",Canada,L,2009 round 6 #165 overall by Florida Panthers,Hamilton, ,17.8
Scott Valentine,87,167,2.1,2.0,157.4,166,Anaheim Ducks,Scott Valentine (D),2009,1,https://www.eliteprospects.com/player/30688/scott-valentine,-,-,1991-05-02,"6'1""",100 kg / 220,"Metcalfe, ON, CAN",Canada,L,2009 round 6 #166 overall by Anaheim Ducks,Metcalfe, ,16.2
Scott Wilson,42,59,2.1,4.1,115.2,209,Pittsburgh Penguins,Scott Wilson (F),2011,0,https://www.eliteprospects.com/player/62534/scott-wilson,-,-,1992-04-24,"5'11""",80 kg / 176,"Oakville, ON, CAN",Canada,L,2011 round 7 #209 overall by Pittsburgh Penguins,Oakville, ,15.2
Scott Winkler,75,40,3.8,4.2,43.7,89,Dallas Stars,Scott Winkler (F),2008,0,https://www.eliteprospects.com/player/18120/scott-winkler,-,-,1990-02-22,"6'3""",96 kg / 212,"Asker, NOR",Norway,R,2008 round 3 #89 overall by Dallas Stars,Asker, ,17.4
Sean Collins,60,34,5.3,7.2,46.5,187,Columbus Blue Jackets,Sean Collins (F),2008,0,https://www.eliteprospects.com/player/19204/sean-collins,-,-,1988-12-29,"6'3""",86 kg / 190,"Saskatoon, SK, CAN",Canada,L,2008 round 7 #187 overall by Columbus Blue Jackets,Saskatoon, ,18.5
Sean Couturier,65,36,11.600000000000001,14.6,45.4,8,Philadelphia Flyers,Sean Couturier (F),2011,0,https://www.eliteprospects.com/player/32885/sean-couturier,Philadelphia Flyers,Signed,1992-12-07,"6'4""",96 kg / 212,"Phoenix, AZ, USA",Canada,L,2011 round 1 #8 overall by Philadelphia Flyers,Phoenix, ,14.6
Sean Kuraly,51,45,4.1,6.6,72.4,133,San Jose Sharks,Sean Kuraly (F),2011,0,https://www.eliteprospects.com/player/49938/sean-kuraly,Columbus Blue Jackets,Signed,1993-01-20,"6'2""",93 kg / 205,"Dublin, OH, USA",USA,L,2011 round 5 #133 overall by San Jose Sharks,Dublin, ,14.4
Sean Lorenz,64,24,1.0,1.3,30.8,115,Minnesota Wild,Sean Lorenz (D),2008,1,https://www.eliteprospects.com/player/17496/sean-lorenz,-,-,1990-03-10,"6'1""",94 kg / 207,"Littleton, CO, USA",USA,R,2008 round 4 #115 overall by Minnesota Wild,Littleton, ,17.3
Sean Malone,72,36,6.0,6.8,41.0,159,Buffalo Sabres,Sean Malone (F),2013,0,https://www.eliteprospects.com/player/118664/sean-malone,Buffalo Sabres,Signed,1995-04-30,"6'0""",89 kg / 196,"Buffalo, NY, USA",USA,L,2013 round 6 #159 overall by Buffalo Sabres,Buffalo, ,12.2
Sean Monahan,58,24,11.2,15.8,33.9,6,Calgary Flames,Sean Monahan (F),2013,0,https://www.eliteprospects.com/player/85013/sean-monahan,Montréal Canadiens,Signed,1994-10-12,"6'1""",91 kg / 201,"Brampton, ON, CAN",Canada,L,2013 round 1 #6 overall by Calgary Flames,Brampton, ,12.7
Sebastian Aho,68,22,6.700000000000001,8.1,26.5,35,Carolina Hurricanes,Sebastian Aho (F),2015,0,https://www.eliteprospects.com/player/152111/sebastian-aho,Carolina Hurricanes,Signed,1997-07-26,"6'0""",80 kg / 176,"Rauma, FIN",Finland,L,2015 round 2 #35 overall by Carolina Hurricanes,Rauma, ,9.9
Sebastian Collberg,106,62,4.8,3.7,48.0,33,Montréal Canadiens,Sebastian Collberg (F),2012,0,https://www.eliteprospects.com/player/16836/sebastian-collberg,-,-,1994-02-23,"5'11""",89 kg / 196,"Mariestad, SWE",Sweden,R,2012 round 2 #33 overall by Montréal Canadiens,Mariestad, ,13.3
Sebastian Owuya,57,122,1.5,2.2,175.5,169,Atlanta Thrashers,Sebastian Owuya (D),2010,1,https://www.eliteprospects.com/player/10586/sebastian-owuya,-,-,1991-10-08,"6'4""",98 kg / 216,"Stockholm, SWE",Sweden,L,2010 round 6 #169 overall by Atlanta Thrashers,Stockholm, ,15.7
Sebastian Wännström,60,61,5.2,7.1,83.4,44,St. Louis Blues,Sebastian Wännström (F),2010,0,https://www.eliteprospects.com/player/9782/sebastian-wannstrom,-,-,1991-03-03,"6'1""",83 kg / 183,"Gävle, SWE",Sweden,R,2010 round 2 #44 overall by St. Louis Blues,Gävle, ,16.3
Sergei Andronov,61,30,13.1,17.6,40.3,78,St. Louis Blues,Sergei Andronov (F),2009,0,https://www.eliteprospects.com/player/11856/sergei-andronov,-,-,1989-07-19,"6'2""",93 kg / 205,"Penza, RUS",Russia,L,2009 round 3 #78 overall by St. Louis Blues,Penza, ,17.9
Sergei Boikov,64,64,2.4,3.1,82.0,161,Colorado Avalanche,Sergei Boikov (D),2015,1,https://www.eliteprospects.com/player/218306/sergei-boikov,Colorado Avalanche,Unsigned,1996-01-24,"6'1""",92 kg / 203,"Khabarovsk, RUS",Russia,L,2015 round 6 #161 overall by Colorado Avalanche,Khabarovsk, ,11.4
